#	Symbol	AtomicMass	Name	AtomicNumber
1	H	1.0079	Hydrogen	1
2	He	4.0026	Helium	2
3	Li	6.941	Lithium	3
4	Be	9.0122	Beryllium	4
5	B	10.811	Boron	5
6	C	12.0107	Carbon	6
7	N	14.0067	Nitrogen	7
8	O	15.9994	Oxygen	8
9	F	18.9984	Fluorine	9
10	Ne	20.1797	Neon	10
11	Na	22.9897	Sodium	11
12	Mg	24.305	Magnesium	12
13	Al	26.9815	Aluminum	13
14	Si	28.0855	Silicon	14
15	P	30.9738	Phosphorus	15
16	S	32.065	Sulfur	16
17	Cl	35.453	Chlorine	17
18	Ar	39.948	Argon	18
19	K	39.0983	Potassium	19
20	Ca	40.078	Calcium	20
21	Sc	44.9559	Scandium	21
22	Ti	47.867	Titanium	22
23	V	50.9415	Vanadium	23
24	Cr	51.9961	Chromium	24
25	Mn	54.938	Manganese	25
26	Fe	55.845	Iron	26
27	Co	58.9332	Cobalt	27
28	Ni	58.6934	Nickel	28
29	Cu	63.546	Copper	29
30	Zn	65.39	Zinc	30
31	Ga	69.723	Gallium	31
32	Ge	72.64	Germanium	32
33	As	74.9216	Arsenic	33
34	Se	78.96	Selenium	34
35	Br	79.904	Bromine	35
36	Kr	83.8	Krypton	36
37	Rb	85.4678	Rubidium	37
38	Sr	87.62	Strontium	38
39	Y	88.9059	Yttrium	39
40	Zr	91.224	Zirconium	40
41	Nb	92.9064	Niobium	41
42	Mo	95.94	Molybdenum	42
43	Tc	98	Technetium	43
44	Ru	101.07	Ruthenium	44
45	Rh	102.9055	Rhodium	45
46	Pd	106.42	Palladium	46
47	Ag	107.8682	Silver	47
48	Cd	112.411	Cadmium	48
49	In	114.818	Indium	49
50	Sn	118.71	Tin	50
51	Sb	121.76	Antimony	51
52	Te	127.6	Tellurium	52
53	I	126.9045	Iodine	53
54	Xe	131.293	Xenon	54
55	Cs	132.9055	Cesium	55
56	Ba	137.327	Barium	56
57	La	138.9055	Lanthanum	57
58	Ce	140.116	Cerium	58
59	Pr	140.9077	Praseodymium	59
60	Nd	144.24	Neodymium	60
61	Pm	145	Promethium	61
62	Sm	150.36	Samarium	62
63	Eu	151.964	Europium	63
64	Gd	157.25	Gadolinium	64
65	Tb	158.9253	Terbium	65
66	Dy	162.5	Dysprosium	66
67	Ho	164.9303	Holmium	67
68	Er	167.259	Erbium	68
69	Tm	168.9342	Thulium	69
70	Yb	173.04	Ytterbium	70
71	Lu	174.967	Lutetium	71
72	Hf	178.49	Hafnium	72
73	Ta	180.9479	Tantalum	73
74	W	183.84	Tungsten	74
75	Re	186.207	Rhenium	75
76	Os	190.23	Osmium	76
77	Ir	192.217	Iridium	77
78	Pt	195.078	Platinum	78
79	Au	196.9665	Gold	79
80	Hg	200.59	Mercury	80
81	Tl	204.3833	Thallium	81
82	Pb	207.2	Lead	82
83	Bi	208.9804	Bismuth	83
84	Po	209	Polonium	84
85	At	210	Astatine	85
86	Rn	222	Radon	86
87	Fr	223	Francium	87
88	Ra	226	Radium	88
89	Ac	227	Actinium	89
90	Th	232.0381	Thorium	90
91	Pa	231.0359	Protactinium	91
92	U	238.0289	Uranium	92
93	Np	237	Neptunium	93
94	Pu	244	Plutonium	94
95	Am	243	Americium	95
96	Cm	247	Curium	96
97	Bk	247	Berkelium	97
98	Cf	251	Californium	98
99	Es	252	Einsteinium	99
100	Fm	257	Fermium	100
101	Md	258	Mendelevium	101
102	No	259	Nobelium	102
103	Lr	266	Lawrencium	103
104	Rf	267	Rutherfordium	104
105	Db	262	Dubnium	105
106	Sg	271	Seaborgium	106
107	Bh	270	Bohrium	107
108	Hs	269	Hassium	108
109	Mt  278	Meitnerium	109
110 Ds 281
111	Rg 282	Roentgenium	111
112 Cn 285
113 Nh 286
114 Fl 289
115 Mc 289
116 Lv 293
117 Ts 294
118 Og 294


